Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
D3YVM1	unreviewed	Zinc finger and SCAN domain containing 10	10090	Mus musculus	262	IPR036236	227..262
D3YW09	unreviewed	Matrin-type domain-containing protein	10090	Mus musculus	194	IPR036236	47..87
D3YWV9	unreviewed	CHHC U11-48K-type domain-containing protein	10090	Mus musculus	127	IPR036236	13..43
D3YX49	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	468	IPR036236	172..265,263..341
D3YY44	unreviewed	Double PHD fingers 1	10090	Mus musculus	398	IPR036236	192..220
D3YY67	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	601	IPR036236	106..250,282..359,409..502,501..599
D3YYD1	unreviewed	PR domain zinc finger protein 10	10090	Mus musculus	1135	IPR036236	469..583,580..631
D3YYG0	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	123	IPR036236	83..118
D3YYM0	reviewed	Putative transcription factor ovo-like protein 3	10090	Mus musculus	189	IPR036236	91..143
D3YYR3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	102	IPR036236	23..102
D3YYX3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	153	IPR036236	73..150
D3YYX6	unreviewed	U1-type domain-containing protein	10090	Mus musculus	96	IPR036236	5..49,63..96
D3YZL3	unreviewed	Zinc finger protein 800	10090	Mus musculus	160	IPR036236	67..94
D3Z009	unreviewed	Ly1 antibody reactive clone	10090	Mus musculus	49	IPR036236	1..27
D3Z083	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	512	IPR036236	67..253,257..308,364..415,455..506
D3Z0E5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	202	IPR036236	98..196
D3Z0W3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	525	IPR036236	234..330,329..407,413..507
D3Z0X4	unreviewed	Zinc finger protein 617	10090	Mus musculus	222	IPR036236	126..213
D3Z1G5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	493	IPR036236	31..80,79..158,163..220,219..323,331..388,387..485
D3Z2T8	unreviewed	Zinc finger protein 963	10090	Mus musculus	383	IPR036236	148..197,210..333,332..383
D3Z339	unreviewed	U1-type domain-containing protein	10090	Mus musculus	68	IPR036236	19..63
D3Z345	unreviewed	Zinc finger C2H2 LYAR-type domain-containing protein	10090	Mus musculus	191	IPR036236	1..27,30..59
D3Z3K7	unreviewed	E3 SUMO-protein ligase EGR2	10090	Mus musculus	412	IPR036236	270..359
D3Z3V5	unreviewed	Zinc finger protein 689	10090	Mus musculus	360	IPR036236	150..242,241..335
D3Z3Z6	unreviewed	Zinc finger and SCAN domain containing 10	10090	Mus musculus	329	IPR036236	263..296,295..329
D3Z404	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	120	IPR036236	80..119
D3Z445	unreviewed	Zinc finger protein 707	10090	Mus musculus	384	IPR036236	188..282,281..379
D3Z4A3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	191	IPR036236	111..187
D3Z4C3	unreviewed	Zinc finger and BTB domain containing 7a	10090	Mus musculus	415	IPR036236	377..414
D3Z5G4	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	351	IPR036236	302..350
D3Z5L4	unreviewed	Zinc finger protein 1007	10090	Mus musculus	667	IPR036236	63..112,111..168,167..224,223..280,279..336,335..392,391..448,447..504,503..560,559..653
D3Z5P9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	244	IPR036236	147..242
D3Z5X8	unreviewed	Zinc finger C2H2 LYAR-type domain-containing protein	10090	Mus musculus	131	IPR036236	1..27,30..59
D3Z5Y8	unreviewed	Predicted gene 15446	10090	Mus musculus	553	IPR036236	63..112,111..168,167..224,223..280,279..336,335..392,391..448,447..541
D3Z614	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	467	IPR036236	104..236,254..311,310..367,366..460
D3Z6L7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	312	IPR036236	173..262
D3Z7N3	unreviewed	Zinc finger C2H2 LYAR-type domain-containing protein	10090	Mus musculus	190	IPR036236	1..27,30..59
D6RDT2	unreviewed	Acetyl-coA carboxylase zinc finger domain-containing protein	10090	Mus musculus	40	IPR036236	1..27
D6RFB4	unreviewed	Zinc finger and BTB domain containing 49	10090	Mus musculus	444	IPR036236	382..426
D6RGQ1	unreviewed	Protein arginine N-methyltransferase 3 C2H2 zinc finger domain-containing protein	10090	Mus musculus	64	IPR036236	26..64
D6RGS0	unreviewed	Zinc finger and BTB domain containing 49	10090	Mus musculus	428	IPR036236	382..413
D6RIL7	unreviewed	PR domain containing 15	10090	Mus musculus	474	IPR036236	340..388
E0CX30	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1152	IPR036236	269..362,404..454,738..834,869..954,959..1008
E0CX66	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	148	IPR036236	96..148
E0CY81	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	529	IPR036236	313..342,355..450
E0CY94	unreviewed	Zinc finger protein 346	10090	Mus musculus	151	IPR036236	44..111
E0CYH2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	231	IPR036236	180..230
E0CYH6	unreviewed	Zinc finger protein 346	10090	Mus musculus	101	IPR036236	44..93
E0CYL8	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	236	IPR036236	45..127
E0CYN4	unreviewed	Zinc finger protein 346	10090	Mus musculus	135	IPR036236	44..111
E0CZ32	unreviewed	Zinc finger protein 346	10090	Mus musculus	132	IPR036236	44..111
E9PU88	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	630	IPR036236	48..105,117..238,243..300,299..356,355..412,411..468,467..524,523..617
E9PUD6	unreviewed	Zinc finger and SCAN domain containing 18	10090	Mus musculus	809	IPR036236	772..800
E9PUP8	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	805	IPR036236	426..480,518..615,615..707,729..786
E9PUR3	unreviewed	Predicted gene 20422	10090	Mus musculus	255	IPR036236	153..247
E9PUS4	unreviewed	Zinc finger protein 944	10090	Mus musculus	492	IPR036236	178..276,275..332,332..388,388..485
E9PUT0	unreviewed	Zinc finger protein 983	10090	Mus musculus	460	IPR036236	114..166,183..300,306..362,361..455
E9PV84	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	543	IPR036236	140..226,243..269,287..382,381..438,438..540
E9PVC2	unreviewed	Zinc finger protein 282	10090	Mus musculus	666	IPR036236	512..644
E9PVW1	unreviewed	Zinc finger with KRAB and SCAN domains 7	10090	Mus musculus	718	IPR036236	347..496,495..552,551..608,607..701
E9PW05	reviewed	Zinc finger protein 54	10090	Mus musculus	585	IPR036236	168..308,307..364,363..420,420..476,475..577
E9PWN4	unreviewed	KRAB domain-containing protein	10090	Mus musculus	126	IPR036236	74..119
E9PWP1	unreviewed	Zinc finger protein 599	10090	Mus musculus	548	IPR036236	197..293,292..349,348..405,404..498
E9PWQ2	unreviewed	Zinc finger protein 268	10090	Mus musculus	407	IPR036236	193..247,247..303,303..400
E9PWT2	unreviewed	Zinc finger protein 229	10090	Mus musculus	705	IPR036236	157..211,219..303,321..377,376..432,431..488,488..544,560..696
E9PWW6	unreviewed	C3H1-type domain-containing protein	10090	Mus musculus	970	IPR036236	845..884
E9PXB1	unreviewed	Zinc finger and SCAN domain containing 10	10090	Mus musculus	702	IPR036236	299..385,402..428,446..541,540..597,597..699
E9PXJ4	unreviewed	Zinc finger protein 712	10090	Mus musculus	705	IPR036236	79..173,172..229,228..307,312..369,368..425,424..481,480..537,536..593,592..686
E9PXY5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	293	IPR036236	96..148,162..212
E9PY65	unreviewed	Zinc finger protein 58	10090	Mus musculus	241	IPR036236	79..171,170..227
E9PYI1	reviewed	Zinc finger protein 568	10090	Mus musculus	671	IPR036236	359..456,455..512,512..568,567..665
E9PYN2	unreviewed	Zinc finger protein 346	10090	Mus musculus	262	IPR036236	44..96,98..135,144..191,206..234
E9PZ11	unreviewed	Zinc finger and BTB domain containing 47	10090	Mus musculus	729	IPR036236	443..525,528..624,624..680
E9PZ68	unreviewed	Zinc finger protein 788	10090	Mus musculus	864	IPR036236	216..311,310..367,366..423,422..479,478..535,534..591,590..647,646..703,702..759,759..852
E9PZP6	unreviewed	Zinc finger protein 97	10090	Mus musculus	546	IPR036236	110..204,222..275,274..331,330..387,386..443,442..540
E9PZQ8	unreviewed	RIKEN cDNA E430018J23 gene	10090	Mus musculus	461	IPR036236	168..283,288..346,345..402
E9PZZ1	reviewed	PR domain zinc finger protein 13	10090	Mus musculus	754	IPR036236	180..208,620..703
E9Q0Q3	unreviewed	RIKEN cDNA 2610021A01 gene	10090	Mus musculus	834	IPR036236	387..480,480..558,564..620,619..676,675..732,732..829
E9Q1A5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	584	IPR036236	225..307,316..456
E9Q1J0	unreviewed	Zinc finger protein 558	10090	Mus musculus	407	IPR036236	154..245,248..306,305..403
E9Q1L8	unreviewed	Zinc finger protein 493	10090	Mus musculus	384	IPR036236	79..174,173..230,229..286,286..379
E9Q218	unreviewed	Zinc finger protein 58	10090	Mus musculus	169	IPR036236	79..169
E9Q2M4	unreviewed	Zinc finger protein 867	10090	Mus musculus	473	IPR036236	91..186,185..242,241..339,355..448
E9Q2S6	unreviewed	Zinc finger protein 780B	10090	Mus musculus	806	IPR036236	169..264,263..320,320..376,376..432,431..488,488..544,543..600,600..656,655..749,753..801
E9Q2S7	unreviewed	Zinc finger protein 266	10090	Mus musculus	604	IPR036236	206..259,286..380,379..436,435..492,491..585
E9Q2Y5	unreviewed	Zinc finger and BTB domain containing 49	10090	Mus musculus	480	IPR036236	382..412
E9Q3G0	unreviewed	Zinc finger and SCAN domain containing 4B	10090	Mus musculus	505	IPR036236	388..441,445..497
E9Q3R6	unreviewed	Zinc finger protein 169	10090	Mus musculus	731	IPR036236	227..323,323..401,407..463,462..519,518..576,576..632,632..729
E9Q3R9	unreviewed	Zinc finger and BTB domain containing 21	10090	Mus musculus	1066	IPR036236	546..587,671..701,713..749,750..773,774..812,909..959
E9Q3T6	reviewed	PR domain zinc finger protein 14	10090	Mus musculus	561	IPR036236	420..558
E9Q444	unreviewed	Zinc finger and BTB domain containing 21	10090	Mus musculus	1094	IPR036236	574..615,699..729,741..777,778..801,802..840,937..987
E9Q459	unreviewed	Zinc finger protein 160	10090	Mus musculus	650	IPR036236	144..196,210..267,266..323,322..379,378..435,434..512,518..649
E9Q462	unreviewed	Zinc finger protein 758	10090	Mus musculus	551	IPR036236	175..270,270..326,326..382,382..438,438..494,494..550
E9Q4R4	unreviewed	Zinc finger protein 882	10090	Mus musculus	555	IPR036236	82..177,176..233,251..344,343..400,399..456,455..549
E9Q4R5	unreviewed	Zinc finger protein 961	10090	Mus musculus	444	IPR036236	142..194,198..291,290..347,347..403,402..443
E9Q4V2	unreviewed	Histone-lysine N-methyltransferase	10090	Mus musculus	847	IPR036236	522..578,578..634,634..690,690..746,746..843
E9Q520	unreviewed	Zinc finger protein 54	10090	Mus musculus	233	IPR036236	182..233
E9Q532	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1808	IPR036236	609..664
E9Q569	unreviewed	Zinc finger protein 398	10090	Mus musculus	511	IPR036236	208..250,263..305,305..361,361..454
E9Q5A7	unreviewed	Zinc finger homeodomain 4	10090	Mus musculus	3581	IPR036236	686..728,738..796,1368..1415,1510..1584,1917..2303,2970..3014
E9Q5B4	unreviewed	Zinc finger SCAN domains 29	10090	Mus musculus	869	IPR036236	671..765,765..858
E9Q5G8	unreviewed	Zinc finger protein 820	10090	Mus musculus	549	IPR036236	192..248,248..304,304..360,360..416,416..472,472..528
E9Q5M4	unreviewed	DZF domain-containing protein	10090	Mus musculus	874	IPR036236	176..238,249..283,378..431
E9Q5M9	unreviewed	Zinc finger protein 688	10090	Mus musculus	274	IPR036236	179..231
E9Q5X9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	531	IPR036236	205..366,373..429,428..522
E9Q624	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1292	IPR036236	410..471
E9Q6B9	unreviewed	Zinc finger protein 972	10090	Mus musculus	139	IPR036236	83..135
E9Q6D6	reviewed	Zinc finger protein 277	10090	Mus musculus	583	IPR036236	339..407,415..554
E9Q6M3	unreviewed	Zinc finger protein 995	10090	Mus musculus	437	IPR036236	178..276,275..332,332..429
E9Q6S0	unreviewed	Zinc finger protein 597	10090	Mus musculus	419	IPR036236	154..273,333..414
E9Q6S4	unreviewed	Predicted gene 17067	10090	Mus musculus	354	IPR036236	64..102,113..196,195..274,279..336
E9Q6W4	reviewed	Zinc finger protein 296	10090	Mus musculus	445	IPR036236	213..262,361..410
E9Q6Y4	unreviewed	Zinc finger protein 94	10090	Mus musculus	486	IPR036236	159..256,256..312,311..368,368..461
E9Q707	unreviewed	Zinc finger protein	10090	Mus musculus	415	IPR036236	104..198,198..255,254..311,311..405
E9Q732	unreviewed	Zinc finger protein 949	10090	Mus musculus	603	IPR036236	248..305,305..361,360..417,416..473,472..599
E9Q7N8	unreviewed	Zinc finger protein 346	10090	Mus musculus	309	IPR036236	44..111,121..167,191..239,240..281
E9Q8A0	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	360	IPR036236	50..194,226..303
E9Q8D0	reviewed	DnaJ homolog subfamily C member 21	10090	Mus musculus	531	IPR036236	302..361
E9Q8G5	reviewed	Zinc finger protein OBI1	10090	Mus musculus	680	IPR036236	260..308,463..542,547..676
E9Q8I5	unreviewed	Zinc finger protein 108	10090	Mus musculus	642	IPR036236	279..374,374..430,430..486,488..540,540..633
E9Q8M1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	571	IPR036236	152..247,247..303,302..396
E9Q8T2	reviewed	PR domain zinc finger protein 15	10090	Mus musculus	1174	IPR036236	400..453,493..544,571..620,661..711,734..788,792..883
E9Q8W2	unreviewed	Zinc finger protein 758	10090	Mus musculus	542	IPR036236	175..270,270..326,326..382,382..438,438..531
E9Q8X5	unreviewed	Zinc finger and BTB domain containing 10	10090	Mus musculus	861	IPR036236	725..779
E9Q951	unreviewed	Zinc finger protein 426	10090	Mus musculus	483	IPR036236	143..189,205..300,299..356,355..449,453..483
E9Q980	unreviewed	Zinc finger protein 788	10090	Mus musculus	884	IPR036236	236..331,330..387,386..443,442..499,498..555,554..611,610..667,666..723,722..779,779..872
E9Q981	unreviewed	Zinc finger protein 976	10090	Mus musculus	636	IPR036236	113..168,167..246,251..308,307..364,363..420,419..476,475..532,531..625
E9Q9F0	unreviewed	Zinc finger protein 961	10090	Mus musculus	425	IPR036236	123..175,179..272,271..328,328..384,383..424
E9Q9G3	unreviewed	Zinc finger protein 938	10090	Mus musculus	579	IPR036236	119..205,266..360,359..416,415..472,471..569
E9QA22	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1323	IPR036236	410..471
E9QA60	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	272	IPR036236	108..186,192..248
E9QA68	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	367	IPR036236	210..344
E9QAA1	unreviewed	Zinc finger protein 758	10090	Mus musculus	583	IPR036236	207..302,302..358,358..414,414..470,470..526,526..582
E9QAF5	unreviewed	Zinc finger protein 760	10090	Mus musculus	666	IPR036236	184..273,273..329,328..385,384..441,441..497,496..553,553..650
E9QAG4	unreviewed	RIKEN cDNA 4930522L14 gene	10090	Mus musculus	666	IPR036236	64..112,112..190,195..252,251..331,336..415,420..477,476..534,533..591,607..666
E9QAG8	reviewed	Zinc finger protein 431	10090	Mus musculus	526	IPR036236	64..113,112..191,196..253,252..356,364..421,420..518
E9QAH2	unreviewed	Zinc finger protein 605	10090	Mus musculus	694	IPR036236	169..255,261..314,313..407,423..480,479..536,535..592,591..685
E9QAM5	reviewed	3'-5' exoribonuclease HELZ2	10090	Mus musculus	2947	IPR036236	261..317
E9QAP1	unreviewed	Zinc finger protein 764	10090	Mus musculus	431	IPR036236	150..267,272..330,329..400
E9QAR1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	554	IPR036236	268..325,324..426
E9QAR4	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	523	IPR036236	227..320,318..396
E9QAR6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	568	IPR036236	209..291,300..436
E9QAW0	unreviewed	Zinc finger protein 213	10090	Mus musculus	468	IPR036236	324..456
E9QK22	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	288	IPR036236	170..196,207..281
E9QMD3	unreviewed	Zinc finger homeobox 3	10090	Mus musculus	3723	IPR036236	717..758,1411..1458,1553..1626,1991..2355,2538..2740,3027..3072
E9QML5	unreviewed	Zinc finger protein 638	10090	Mus musculus	1960	IPR036236	1903..1952
E9QNP6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	358	IPR036236	289..357
E9QPD3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	261	IPR036236	2..96,95..152,151..249
F2Y0K5	unreviewed	Histone-lysine N-methyltransferase	10090	Mus musculus	819	IPR036236	517..606,606..662,662..718,718..815
F2Z3V9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	428	IPR036236	119..235,241..297
F2Z422	unreviewed	Zinc finger protein 708	10090	Mus musculus	529	IPR036236	79..174,173..252,257..314,313..370,369..426,425..523
F2Z443	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	451	IPR036236	244..291,297..430
F6PYY4	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	55	IPR036236	12..37
F6QGP8	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1307	IPR036236	18..56
F6QJI2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	251	IPR036236	18..76,115..190
F6QN44	unreviewed	Zinc finger protein 936	10090	Mus musculus	455	IPR036236	63..98,132..185,184..241,241..297,296..353,352..446
F6QUN2	unreviewed	Zinc finger protein 707	10090	Mus musculus	391	IPR036236	195..289,288..386
F6R4Z5	unreviewed	Zinc finger protein 709	10090	Mus musculus	726	IPR036236	129..178,204..282,288..367,372..429,429..507,513..569,569..625,625..718
F6R5G3	unreviewed	Zinc finger protein 512	10090	Mus musculus	103	IPR036236	26..71,75..100
F6R9A8	unreviewed	Zinc finger protein 958	10090	Mus musculus	466	IPR036236	55..111,110..167,166..223,222..279,278..357,362..456
F6RCF6	unreviewed	Transcription factor IIIA	10090	Mus musculus	364	IPR036236	49..124,146..186,186..213,223..302
F6RU08	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	223	IPR036236	155..207
F6SIJ4	unreviewed	Transcription factor IIIA	10090	Mus musculus	342	IPR036236	49..124,127..186,186..213,223..302
F6SXE5	unreviewed	CHHC U11-48K-type domain-containing protein	10090	Mus musculus	194	IPR036236	40..70
F6T820	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	292	IPR036236	128..157
F6UB40	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	320	IPR036236	73..190
F6UJZ6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	143	IPR036236	118..141
F6ULU2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	370	IPR036236	105..156,306..358
F6UQD0	unreviewed	Zinc finger protein 273	10090	Mus musculus	468	IPR036236	46..141,141..197,196..253,252..309,308..365,364..462
F6V059	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	180	IPR036236	2..31
F6VKC7	unreviewed	Zinc finger protein 988	10090	Mus musculus	633	IPR036236	195..249,249..305,305..361,361..417,417..473,473..529,529..626
F6VWU8	unreviewed	Zinc finger protein 946	10090	Mus musculus	523	IPR036236	195..251,250..307,307..363,363..419,418..523
F6VXG5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	360	IPR036236	248..345
F6WAU7	unreviewed	Zinc finger protein 945	10090	Mus musculus	794	IPR036236	212..268,268..324,341..458,463..542,547..626,631..688,688..785
F6XU31	unreviewed	Zinc finger protein 707	10090	Mus musculus	199	IPR036236	144..198
F6Y2T6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	517	IPR036236	402..502
F6YAM1	unreviewed	Zinc finger protein 930	10090	Mus musculus	440	IPR036236	71..166,166..222,221..278,277..334,333..431
F6YIG8	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	121	IPR036236	20..74
F6YKQ9	unreviewed	Double PHD fingers 1	10090	Mus musculus	146	IPR036236	17..45
F6Z595	unreviewed	Zinc finger and BTB domain containing 38	10090	Mus musculus	924	IPR036236	339..389,450..532
F6ZA56	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	164	IPR036236	79..127
F6ZBR8	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1059	IPR036236	149..343,636..827
F6ZJ37	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	343	IPR036236	76..133,283..335
F6ZS36	unreviewed	Zinc finger protein 1004	10090	Mus musculus	494	IPR036236	77..165,184..279,278..333,338..391,390..488
F7A0E9	unreviewed	Predicted gene 5141	10090	Mus musculus	580	IPR036236	108..197,196..253,252..309,308..365,364..421,420..477,476..574
F7A4H5	unreviewed	Zinc finger protein 267	10090	Mus musculus	795	IPR036236	350..404,403..460,459..516,515..572,571..628,627..684,683..777
F7ACM4	unreviewed	Predicted gene 14296	10090	Mus musculus	249	IPR036236	215..244
F7AFE4	unreviewed	Zinc finger protein 433	10090	Mus musculus	599	IPR036236	103..198,197..254,253..310,309..366,365..422,421..478,477..534,533..590
F7AIG4	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	85	IPR036236	2..85
F7APL9	unreviewed	Zinc finger protein 872	10090	Mus musculus	464	IPR036236	75..124,135..230,229..286,285..364,369..463
F7AT58	unreviewed	Matrin-type domain-containing protein	10090	Mus musculus	235	IPR036236	37..68
F7B631	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	189	IPR036236	2..53
F7BDX4	unreviewed	Predicted gene 20422	10090	Mus musculus	218	IPR036236	159..209
F7BFU5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	85	IPR036236	1..82
F7BUM8	unreviewed	Zinc finger protein 953	10090	Mus musculus	301	IPR036236	87..165,170..227,240..292
F7CEW8	unreviewed	Predicted gene 4631	10090	Mus musculus	497	IPR036236	55..111,111..167,166..223,222..279,278..335,334..391,390..487
F7CL41	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	293	IPR036236	129..158
F7CPB1	unreviewed	Double PHD fingers 3	10090	Mus musculus	314	IPR036236	129..158
F7CTH4	unreviewed	Zinc finger protein 811	10090	Mus musculus	551	IPR036236	188..285,284..341,340..397,396..453,453..546
F7CTY2	unreviewed	Zinc finger protein 346	10090	Mus musculus	238	IPR036236	26..93,103..149,173..221
F7CWA7	unreviewed	Predicted gene 11009	10090	Mus musculus	138	IPR036236	82..134
F8QZ85	unreviewed	Zinc finger protein 830	10090	Mus musculus	363	IPR036236	49..84
F8V330	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	328	IPR036236	226..321
F8VPK3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	477	IPR036236	186..216,277..375
F8VPM9	unreviewed	Human immunodeficiency virus type I enhancer binding protein 1	10090	Mus musculus	2688	IPR036236	407..457,950..978,2074..2122
F8VPP0	unreviewed	Zinc finger protein 708	10090	Mus musculus	541	IPR036236	91..186,185..264,269..326,325..382,381..438,437..535
F8VPP8	unreviewed	C3H1-type domain-containing protein	10090	Mus musculus	982	IPR036236	833..871
F8VPU7	unreviewed	Predicted gene 10778	10090	Mus musculus	498	IPR036236	83..140,139..196,195..275,279..336,335..414,419..498
F8VPU8	unreviewed	Expressed sequence AU041133	10090	Mus musculus	497	IPR036236	84..170,169..226,225..282,281..338,337..394,393..491
F8VPV1	unreviewed	Zinc finger protein 951	10090	Mus musculus	451	IPR036236	129..185,184..241,240..297,296..353,352..446
F8VPV3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	529	IPR036236	313..414
F8VQ70	unreviewed	U1-type domain-containing protein	10090	Mus musculus	1398	IPR036236	781..821
F8VQL6	unreviewed	Zinc finger protein 369	10090	Mus musculus	845	IPR036236	695..831
F8WGY3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	760	IPR036236	381..435,473..570,570..662,684..741
F8WIP7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	214	IPR036236	161..189
F8WIU3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	860	IPR036236	114..177,243..320
F8WJ31	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	340	IPR036236	142..237,236..334
G0LE24	unreviewed	BED-type domain-containing protein	10090	Mus musculus	980	IPR036236	133..187,268..323
G3UVU2	unreviewed	Matrin-type domain-containing protein	10090	Mus musculus	485	IPR036236	48..87
G3UVV3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	2246	IPR036236	224..264,1405..1455,1552..1604,1627..1683,1689..1739
G3UVW7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	728	IPR036236	134..222,223..277,306..360,359..416,415..472,472..528,528..583,583..676
G3UW50	unreviewed	Zinc finger and BTB domain containing 25	10090	Mus musculus	439	IPR036236	237..375
G3UW89	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1167	IPR036236	20..114,363..419,515..567,574..622,631..686,688..788,813..864,1049..1103,1111..1161
G3UW90	unreviewed	Transcriptional repressor GATA binding 1	10090	Mus musculus	1281	IPR036236	1216..1263
G3UWJ0	unreviewed	MDS1 and EVI1 complex locus	10090	Mus musculus	843	IPR036236	202..313,521..606
G3UWU3	unreviewed	Zinc finger protein	10090	Mus musculus	501	IPR036236	167..271,288..382,382..480
G3UXC3	unreviewed	Activating transcription factor 2	10090	Mus musculus	377	IPR036236	2..31
G3UY05	unreviewed	Zinc finger protein 57	10090	Mus musculus	160	IPR036236	84..159
G3UY09	unreviewed	Zinc finger protein 141	10090	Mus musculus	685	IPR036236	382..475,475..531,530..587,586..680
G3UY53	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	305	IPR036236	32..67,82..136,135..192,192..248,247..304
G3UYC1	unreviewed	Zinc finger protein 57	10090	Mus musculus	150	IPR036236	128..148
G3UYE7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	334	IPR036236	185..240,245..291
G3UYI9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	121	IPR036236	76..119
G3UYK2	unreviewed	MDS1 and EVI1 complex locus	10090	Mus musculus	949	IPR036236	267..396,917..948
G3UYY9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	606	IPR036236	67..178,386..471
G3UZ13	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	718	IPR036236	77..188,396..481
G3UZP1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	244	IPR036236	148..242
G3UZT5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1051	IPR036236	77..206,729..814
G3X8Q0	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	781	IPR036236	637..693
G3X8R7	unreviewed	Zinc finger protein 212	10090	Mus musculus	492	IPR036236	284..341,363..406,425..474
G3X904	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	499	IPR036236	166..215,249..344,344..400,399..493
G3X941	unreviewed	RIKEN cDNA 9130019O22 gene	10090	Mus musculus	543	IPR036236	150..202,216..273,272..366,384..442,441..498
G3X952	unreviewed	Zinc finger with KRAB and SCAN domains 2	10090	Mus musculus	960	IPR036236	729..777,777..833,833..926
G3X964	unreviewed	RIKEN cDNA 2610008E11 gene	10090	Mus musculus	669	IPR036236	186..281,280..339,338..395,394..474,480..536,535..592,591..640
G3X996	unreviewed	Zinc finger protein 846	10090	Mus musculus	541	IPR036236	160..255,254..312,311..369,368..425,425..528
