Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Zinc finger	Coiled coil	Compositional bias	Domain [CC]	Domain [FT]	Repeat	Region	Protein families	Motif	Sequence similarities
Q62511	reviewed	ZFP91_MOUSE	E3 ubiquitin-protein ligase ZFP91 (EC 2.3.2.27) (Penta Zf protein) (RING-type E3 ubiquitin transferase ZFP91) (Zinc finger protein 91 homolog) (Zfp-91) (Zinc finger protein PZF)	Zfp91 Pzf	Mus musculus (Mouse)	572	ZN_FING 313..338; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 344..368; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 374..396; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 402..424; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 432..455; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 1..12; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 72..85; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 122..131; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 209..225; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 226..247; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 254..271; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 272..284; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 1..308; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 340..370; /note="Interaction with MAP3K14/NIK"; /evidence="ECO:0000250"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q66LM6	reviewed	F170A_MOUSE	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	Fam170a Gm93 Znfd	Mus musculus (Mouse)	333	ZN_FING 224..248; /note="C2H2-type; degenerate"		COMPBIAS 10..29; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 143..156; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 170..179; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 185..196; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 271..281; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 282..293; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The N-terminus is necessary for nuclear localization. The C-terminus is necessary for transcriptional activity (By similarity). {ECO:0000250}.			REGION 1..45; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 73..107; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 143..214; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 267..333; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	FAM170 family		SIMILARITY: Belongs to the FAM170 family. {ECO:0000305}.
Q68FE9	reviewed	TSH2_MOUSE	Teashirt homolog 2 (SDCCAG33-like protein) (Zinc finger protein 218)	Tshz2 Kiaa4248 Sdccag33l Tsh2 Zfp218 Znf218	Mus musculus (Mouse)	1030	ZN_FING 216..240; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 276..300; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 381..405; /note="C2H2-type 3; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 922..944; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 990..1013; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"	COILED 11..42; /evidence="ECO:0000255"	COMPBIAS 21..37; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 39..49; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 66..95; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 103..120; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 334..348; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 432..459; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 460..482; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 608..623; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 633..664; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 773..783; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 968..977; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 1..120; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 240..266; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 328..348; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 432..488; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 608..687; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 703..726; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 759..784; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 965..987; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1009..1030; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Teashirt C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the teashirt C2H2-type zinc-finger protein family. {ECO:0000305}.
Q6P3Y5	reviewed	Z280C_MOUSE	Zinc finger protein 280C (Suppressor of hairy wing homolog 3)	Znf280c Kiaa1584 Suhw3 Zfp280c	Mus musculus (Mouse)	742	ZN_FING 323..345; /note="C2H2-type 1"; ZN_FING 360..383; /note="C2H2-type 2"; ZN_FING 390..413; /note="C2H2-type 3"; ZN_FING 420..443; /note="C2H2-type 4"; ZN_FING 477..499; /note="C2H2-type 5"		COMPBIAS 138..168; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 182..191; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 223..243; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 579..592; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 593..608; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 138..243; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 523..608; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
Q6P9R4	reviewed	ARHGI_MOUSE	Rho guanine nucleotide exchange factor 18	Arhgef18 Kiaa0521	Mus musculus (Mouse)	1405	ZN_FING 347..372; /note="C2H2-type; degenerate"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"	COILED 1084..1181; /evidence="ECO:0000255"	COMPBIAS 92..103; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 308..330; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1355..1365; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1396..1405; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 485..682; /note="DH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00062"; DOMAIN 723..825; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"		REGION 1..47; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 92..115; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 289..330; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 936..1016; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1198..1242; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1274..1309; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1328..1405; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
Q6P9Y7	reviewed	ZFP82_MOUSE	Zinc finger protein 82 (Zfp-82) (Zinc finger protein 545)	Zfp82 Kiaa1948 Znf545	Mus musculus (Mouse)	530	ZN_FING 168..190; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 196..218; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 224..246; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 252..274; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 280..302; /note="C2H2-type 5; degenerate"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 308..330; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 336..358; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 364..386; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 392..414; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 420..442; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 448..470; /note="C2H2-type 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 476..498; /note="C2H2-type 12"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 504..526; /note="C2H2-type 13"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"				DOMAIN 6..77; /note="KRAB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"			Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q6PD29	reviewed	ZN513_MOUSE	Zinc finger protein 513	Znf513 Zfp513	Mus musculus (Mouse)	541	ZN_FING 150..172; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 178..200; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 206..228; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 360..382; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 388..410; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 416..438; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 444..466; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 472..494; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 44..55; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 103..115; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 1..118; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 492..541; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q6YND2	reviewed	ZN653_MOUSE	Zinc finger protein 653 (67 kDa zinc finger protein) (Zinc finger protein Zip67)	Znf653 Zfp653 Zip67	Mus musculus (Mouse)	615	ZN_FING 467..492; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 498..522; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 528..550; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 556..578; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 586..609; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 106..115; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 1..46; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 93..115; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 174..235; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q80UU1	reviewed	ANKZ1_MOUSE	tRNA endonuclease ANKZF1 (EC 3.1.-.-) (Ankyrin repeat and zinc finger domain-containing protein 1)	Ankzf1 D1Ertd161e	Mus musculus (Mouse)	748	ZN_FING 96..120; /note="C2H2-type"	COILED 628..681; /evidence="ECO:0000255"	COMPBIAS 155..167; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 169..179; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 383..408; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 429..438; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 484..497; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 632..677; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The VLRF1 domain mediates binding to the 60S ribosomal subunit. {ECO:0000250|UniProtKB:Q04311, ECO:0000255|PROSITE-ProRule:PRU01389}.	DOMAIN 227..370; /note="VLRF1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01389"	REPEAT 515..545; /note="ANK 1"; REPEAT 556..585; /note="ANK 2"	REGION 135..185; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 383..438; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 460..497; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 621..677; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 654..666; /note="VCP/p97-interacting motif (VIM)"; /evidence="ECO:0000250|UniProtKB:Q9H8Y5"	ANKZF1/VMS1 family		SIMILARITY: Belongs to the ANKZF1/VMS1 family. {ECO:0000255|PROSITE-ProRule:PRU01389, ECO:0000305}.
Q80Y56	reviewed	RBNS5_MOUSE	Rabenosyn-5 (FYVE finger-containing Rab5 effector protein rabenosyn-5) (RAB effector RBSN) (Zinc finger FYVE domain-containing protein 20)	Rbsn Zfyve20	Mus musculus (Mouse)	783	ZN_FING 14..37; /note="C2H2-type"; ZN_FING 156..259; /note="FYVE-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00091"	COILED 377..412; /evidence="ECO:0000255"; COILED 471..531; /evidence="ECO:0000255"	COMPBIAS 206..223; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 387..399; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 405..414; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 571..584; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 610..623; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 663..673; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 721..733; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 495..514; /note="UIM"; /evidence="ECO:0000305"		REGION 99..262; /note="Necessary for the correct targeting to endosomes"; /evidence="ECO:0000250"; REGION 206..240; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 263..783; /note="Necessary for interaction with EHD1"; /evidence="ECO:0000250"; REGION 263..499; /note="Necessary for interaction with RAB4A"; /evidence="ECO:0000250"; REGION 387..433; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 569..638; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 627..783; /note="Necessary for interaction with RAB5A"; /evidence="ECO:0000250"; REGION 663..733; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
Q80YR4	reviewed	ZN598_MOUSE	E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)	Znf598 Zfp598	Mus musculus (Mouse)	908	ZN_FING 27..67; /note="RING-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00175"; ZN_FING 185..208; /note="C2H2-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 358..385; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 529..538; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 292..338; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 350..441; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 467..557; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 569..619; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 719..744; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	ZNF598/HEL2 family		SIMILARITY: Belongs to the ZNF598/HEL2 family. {ECO:0000305}.
Q80YY7	reviewed	ZN618_MOUSE	Zinc finger protein 618	Znf618 Kiaa1952 Zfp618	Mus musculus (Mouse)	953	ZN_FING 146..168; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 187..209; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 255..277; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 391..413; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 339..354; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 365..379; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 419..428; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 441..458; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 1..56; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 283..305; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 337..390; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 419..461; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q80ZQ5	reviewed	JAZF1_MOUSE	Juxtaposed with another zinc finger protein 1	Jazf1	Mus musculus (Mouse)	243	ZN_FING 12..37; /note="C2H2-type 1"; ZN_FING 173..198; /note="C2H2-type 2"; ZN_FING 208..230; /note="C2H2-type 3; degenerate"		COMPBIAS 89..108; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 131..148; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 39..79; /note="Required for interaction with NR2C2"; /evidence="ECO:0000250|UniProtKB:Q86VZ6"; REGION 89..151; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
Q8BFS8	reviewed	ZN418_MOUSE	Zinc finger protein 418	ZNF418 Zfp418	Mus musculus (Mouse)	652	ZN_FING 256..278; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 284..306; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 312..334; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 340..362; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 368..390; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 396..418; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 424..446; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 452..474; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 480..502; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 508..530; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 536..558; /note="C2H2-type 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 564..586; /note="C2H2-type 12"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 592..614; /note="C2H2-type 13"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 620..642; /note="C2H2-type 14"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"				DOMAIN 25..100; /note="KRAB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"			Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q8BHZ4	reviewed	ZN592_MOUSE	Zinc finger protein 592 (Zfp-592)	Znf592 Kiaa0211 Zfp592	Mus musculus (Mouse)	1262	ZN_FING 587..612; /note="C2H2-type 1; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 615..639; /note="C2H2-type 2; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 711..731; /note="C2H2-type 3; degenerate"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 740..764; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 768..790; /note="C2H2-type 5; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 799..822; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 827..850; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 892..915; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 983..1006; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1013..1036; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1043..1069; /note="C2H2-type 11; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1124..1146; /note="C2H2-type 12; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1153..1176; /note="C2H2-type 13"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 213..232; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 298..308; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 454..463; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 964..976; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1241..1262; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 23..45; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 122..174; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 200..278; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 294..494; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 924..979; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1222..1262; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q8BPP0	reviewed	ZN436_MOUSE	Zinc finger protein 436 (Zinc finger protein 46) (Zfp-46) (Zinc finger protein MLZ-4)	Znf436 Kiaa1710 Mlz-4 Zfp46	Mus musculus (Mouse)	452	ZN_FING 120..142; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 148..170; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 176..198; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 204..226; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 232..254; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 260..282; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 288..310; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 316..338; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 344..366; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 372..394; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 400..422; /note="C2H2-type 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 428..450; /note="C2H2-type 12"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"				DOMAIN 1..100; /note="KRAB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"		REGION 43..84; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
